Video ID,Segment ID,Start frame,End frame,Start time(s),End time(s),Violence label(video),No. Frames
21,21_7,2843,3132,47.43,52.25,0,290
21,21_8,3133,3349,52.27,55.87,1,217
21,21_9,3350,3492,55.89,58.26,0,143
21,21_10,3513,3855,58.61,64.31,1,343
21,21_11,3856,5376,64.33,89.69,0,1521
21,21_12,5398,6039,90.06,100.75,1,642
21,21_13,6123,6399,102.15,106.76,0,277
22,22_1,0,203,0,6.77,0,204
22,22_2,204,282,6.81,9.41,1,79
22,22_3,283,1434,9.44,47.85,0,1152
22,22_4,1435,1662,47.88,55.46,1,228
22,22_5,1663,3232,55.49,107.84,0,1570
22,22_6,3233,3401,107.87,113.48,1,169
22,22_7,3402,4385,113.51,146.31,0,984
23,23_1,29,8477,0.97,282.57,0,8449
24,24_1,0,91,0,6.07,0,92
24,24_2,92,335,6.13,22.33,1,244
24,24_3,336,353,22.4,23.53,0,18
24,24_4,354,960,23.6,64,1,607
24,24_5,961,1556,64.07,103.73,0,596
25,25_1,0,1906,0,76.24,1,1907
25,25_2,1907,2926,76.28,117.04,0,1020
25,25_3,2927,4244,117.08,169.76,1,1318
26,26_1,125,304,5,12.16,0,180
26,26_2,305,366,12.2,14.64,1,62
26,26_3,367,1355,14.68,54.2,0,989
26,26_4,1356,1446,54.24,57.84,1,91
26,26_5,1447,1471,57.88,58.84,0,25
100,100_1,0,420,0,14.01,0,421
100,100_2,421,590,14.05,19.69,1,170
100,100_3,598,731,19.95,24.39,0,134
100,100_4,732,1138,24.42,37.97,1,407
100,100_5,1139,3043,38,101.53,0,1905
101,101_1,0,1494,0,24.92,1,1495
101,101_2,1495,3021,24.94,50.4,0,1527
101,101_3,3022,3795,50.42,63.31,1,774
101,101_4,3796,3818,63.31,63.7,0,23
101,101_5,3819,4593,63.71,76.63,1,775
101,101_6,4594,4799,76.64,80.06,0,206
101,101_7,4800,5026,80.08,83.85,1,227
101,101_8,5027,5838,83.87,97.4,0,812
101,101_9,5839,6253,97.41,104.32,1,415
101,101_10,6254,9760,104.34,162.83,0,3507
102,102_1,69,883,2.3,29.46,0,815
102,102_2,884,1040,29.5,34.7,1,157
102,102_3,1041,3054,34.73,101.9,0,2014
102,102_4,3055,3176,101.94,105.97,1,122
102,102_5,3177,4620,106.01,154.15,0,1444
103,103_1,0,4116,0,137.34,0,4117
104,104_1,0,3516,0,117.32,0,3517
105,105_1,68,999,2.83,41.62,0,932
106,106_1,0,2720,0,90.76,0,2721
107,107_1,18,741,0.6,24.72,0,724
107,107_2,742,1115,24.76,37.2,1,374
107,107_3,1116,2254,37.24,75.21,0,1139
108,108_1,0,1617,0,53.95,1,1618
108,108_2,1618,1629,53.99,54.35,0,12
109,109_1,6,1852,0.24,74.08,0,1847
110,110_1,0,2,0,0.07,0,3
110,110_2,32,367,1.07,12.23,1,336
110,110_3,373,1399,12.43,46.63,0,1027
110,110_4,1400,2283,46.67,76.1,1,884
111,111_1,0,2217,0,73.97,0,2218
112,112_1,0,513,0,17.24,0,514
112,112_2,514,688,17.27,23.12,1,175
112,112_3,689,782,23.16,26.28,0,94
112,112_4,783,2913,26.32,97.9,1,2131
113,113_1,52,756,1.74,25.23,0,705
113,113_2,810,913,27.03,30.46,1,104
113,113_3,914,2001,30.5,66.77,0,1088
113,113_4,2002,2292,66.8,76.48,1,291
113,113_5,2293,2930,76.51,97.76,0,638
114,114_1,0,1192,0,39.77,0,1193
114,114_2,1193,1237,39.81,41.27,1,45
114,114_3,1238,1391,41.31,46.41,0,154
114,114_4,1392,2313,46.45,77.18,1,922
114,114_5,2314,2621,77.21,87.45,0,308
114,114_6,2622,3392,87.49,113.18,1,771
114,114_7,3393,3840,113.21,128.13,0,448
115,115_1,0,10,0,0.33,0,11
115,115_2,11,192,0.37,6.41,1,182
115,115_3,198,567,6.61,18.92,0,370
115,115_4,568,611,18.95,20.39,1,44
115,115_5,617,1423,20.59,47.48,0,807
115,115_6,1426,1877,47.58,62.63,1,452
115,115_7,1878,2170,62.66,72.41,0,293
115,115_8,2171,2440,72.44,81.41,1,270
115,115_9,2441,2755,81.45,91.93,0,315
116,116_1,0,2644,0,88.22,0,2645
117,117_1,0,597,0,19.92,0,598
117,117_2,598,697,19.95,23.26,1,100
117,117_3,698,805,23.29,26.86,0,108
117,117_4,806,825,26.89,27.53,1,20
117,117_5,826,1767,27.56,58.96,0,942
117,117_6,1768,1852,58.99,61.8,1,85
117,117_7,1853,2320,61.83,77.41,0,468
118,118_1,62,228,2.07,7.61,0,167
118,118_2,229,268,7.64,8.94,1,40
118,118_3,270,1047,9.01,34.93,0,778
118,118_4,1048,1286,34.97,42.91,1,239
118,118_5,1287,2033,42.94,67.83,0,747
118,118_6,2034,2079,67.87,69.37,1,46
118,118_7,2080,3527,69.4,117.68,0,1448
119,119_1,111,798,3.7,26.63,0,688
119,119_2,799,896,26.66,29.9,1,98
119,119_3,903,1907,30.13,63.63,0,1005
119,119_4,1920,1983,64.06,66.17,1,64
119,119_5,1984,2061,66.2,68.77,0,78
119,119_6,2076,2170,69.27,72.41,1,95
119,119_7,2180,2498,72.74,83.35,0,319
119,119_8,2499,2532,83.38,84.48,1,34
119,119_9,2533,2693,84.52,89.86,0,161
119,119_10,2694,2852,89.89,95.16,1,159
119,119_11,2856,3436,95.3,114.65,0,581
120,120_1,40,3761,1.33,125.49,0,3722
121,121_1,0,742,0,24.76,0,743
121,121_2,743,773,24.79,25.79,1,31
121,121_3,774,929,25.83,31,0,156
121,121_4,930,1094,31.03,36.5,1,165
121,121_5,1095,1223,36.54,40.81,0,129
121,121_6,1224,1276,40.84,42.58,1,53
121,121_7,1277,1674,42.61,55.86,0,398
121,121_8,1675,1714,55.89,57.19,1,40
121,121_9,1715,1951,57.22,65.1,0,237
121,121_10,1952,2077,65.13,69.3,1,126
121,121_11,2078,2637,69.34,87.99,0,560
121,121_12,2638,2941,88.02,98.13,1,304
122,122_1,0,427,0,14.25,0,428
122,122_2,428,787,14.28,26.26,1,360
122,122_3,788,1287,26.29,42.94,0,500
122,122_4,1288,1458,42.98,48.65,1,171
122,122_5,1459,2383,48.68,79.51,0,925
122,122_6,2384,2673,79.55,89.19,1,290
122,122_7,2674,3087,89.22,103,0,414
122,122_8,3088,3221,103.04,107.47,1,134
122,122_9,3222,3818,107.51,127.39,0,597
123,123_1,0,3234,0,129.36,0,3235
124,124_1,0,1396,0,55.84,0,1397
125,125_1,0,489,0,16.32,0,490
125,125_2,506,767,16.88,25.59,1,262
125,125_3,768,1053,25.63,35.13,0,286
125,125_4,1054,1167,35.17,38.94,1,114
125,125_5,1168,2678,38.97,89.36,0,1511
126,126_1,0,107,0,4.28,1,108
126,126_2,108,1577,4.32,63.08,0,1470
127,127_1,36,219,1.2,7.3,1,184
127,127_2,220,2678,7.33,89.27,0,2459
127,127_3,2679,3830,89.3,127.67,1,1152
128,128_1,0,899,0,30,0,900
128,128_2,900,1068,30.03,35.64,1,169
128,128_3,1091,1877,36.4,62.63,0,787
128,128_4,1878,2201,62.66,73.44,1,324
128,128_5,2202,3376,73.47,112.65,0,1175
129,129_1,20,1326,0.8,53.04,0,1307
129,129_2,1327,2809,53.08,112.36,1,1483
129,129_3,2815,2861,112.6,114.44,0,47
129,129_4,2891,2961,115.64,118.44,1,71
131,131_1,22,238,0.73,7.94,0,217
131,131_2,239,589,7.97,19.65,1,351
131,131_3,590,1265,19.69,42.21,0,676
131,131_4,1266,1637,42.24,54.62,1,372
131,131_5,1638,1779,54.65,59.36,0,142
132,132_1,104,207,3.47,6.91,0,104
132,132_2,208,1386,6.94,46.25,1,1179
132,132_3,1387,2031,46.28,67.77,0,645
132,132_4,2032,2443,67.8,81.51,1,412
132,132_5,2444,3293,81.55,109.88,0,850
133,133_1,0,1424,0,47.51,1,1425
133,133_2,1433,1540,47.81,51.38,0,108
133,133_3,1546,1663,51.58,55.49,1,118
133,133_4,1664,1788,55.52,59.66,0,125
133,133_5,1789,2238,59.69,74.67,1,450
133,133_6,2240,3240,74.74,108.11,0,1001
133,133_7,3241,3662,108.14,122.19,1,422
134,134_1,12,367,0.4,12.25,1,356
134,134_2,373,1300,12.45,43.38,0,928
134,134_3,1301,1692,43.41,56.46,1,392
134,134_4,1693,2199,56.49,73.37,0,507
134,134_5,2200,2324,73.41,77.54,1,125
134,134_6,2325,2408,77.58,80.35,0,84
134,134_7,2409,2490,80.38,83.08,1,82
134,134_8,2491,3502,83.12,116.85,0,1012
134,134_9,3503,3579,116.88,119.42,1,77
134,134_10,4700,4773,156.82,159.26,0,74
135,135_1,150,452,6,18.08,0,303
135,135_2,453,842,18.12,33.68,1,390
135,135_3,843,978,33.72,39.12,0,136
135,135_4,979,1007,39.16,40.28,1,29
135,135_5,1008,1220,40.32,48.8,0,213
135,135_6,1221,1252,48.84,50.08,1,32
135,135_7,1253,1350,50.12,54,0,98
135,135_8,1351,1416,54.04,56.64,1,66
135,135_9,1417,1525,56.68,61,0,109
136,136_1,0,2591,0,86.45,0,2592
137,137_1,37,1298,1.24,43.54,0,1262
137,137_2,1299,1376,43.57,46.15,1,78
137,137_3,1377,1521,46.19,51.02,0,145
137,137_4,1529,1641,51.28,55.04,1,113
137,137_5,1644,2043,55.14,68.52,0,400
137,137_6,2044,2323,68.56,77.92,1,280
137,137_7,2333,2435,78.25,81.67,0,103
137,137_8,2436,2486,81.71,83.38,1,51
137,137_9,2487,2537,83.42,85.09,0,51
137,137_10,2538,2772,85.13,92.98,1,235
137,137_11,2776,3240,93.11,108.67,0,465
138,138_1,0,26,0,1.08,1,27
138,138_2,36,496,1.5,20.69,0,461
138,138_3,497,515,20.73,21.48,1,19
138,138_4,516,592,21.52,24.69,0,77
138,138_5,593,610,24.73,25.44,1,18
138,138_6,611,870,25.48,36.29,0,260
138,138_7,871,1022,36.33,42.63,1,152
138,138_8,1023,1266,42.67,52.8,0,244
138,138_9,1353,1427,56.43,59.52,1,75
139,139_1,0,683,0,22.79,0,684
139,139_2,684,697,22.82,23.26,1,14
139,139_3,698,848,23.29,28.29,0,151
139,139_4,849,904,28.33,30.16,1,56
139,139_5,905,1266,30.2,42.24,0,362
139,139_6,1267,1307,42.28,43.61,1,41
139,139_7,1308,2805,43.64,93.59,0,1498
140,140_1,0,7,0,0.28,0,8
140,140_2,8,84,0.32,3.36,1,77
140,140_3,85,122,3.4,4.88,0,38
140,140_4,123,199,4.92,7.96,1,77
140,140_5,200,256,8,10.24,0,57
140,140_6,257,329,10.28,13.16,1,73
140,140_7,330,383,13.2,15.32,0,54
140,140_8,384,392,15.36,15.68,1,9
140,140_9,393,454,15.72,18.16,0,62
140,140_10,455,649,18.2,25.96,1,195
140,140_11,650,941,26,37.64,0,292
140,140_12,942,1037,37.68,41.48,1,96
140,140_13,1038,1704,41.52,68.16,0,667
140,140_14,1705,1829,68.2,73.16,1,125
140,140_15,1830,2625,73.2,105,0,796
140,140_16,2626,2759,105.04,110.36,1,134
141,141_1,0,2420,0,80.67,0,2421
142,142_1,143,2332,4.77,77.81,0,2190
142,142_2,2333,2475,77.84,82.58,1,143
142,142_3,2476,3390,82.62,113.11,0,915
143,143_1,0,474,0,18.96,0,475
143,143_2,475,591,19,23.64,1,117
143,143_3,592,1565,23.68,62.6,0,974
144,144_1,0,1792,0,59.73,0,1793
145,145_1,0,15,0,0.5,0,16
145,145_2,16,37,0.53,1.23,1,22
145,145_3,38,178,1.27,5.94,0,141
145,145_4,179,419,5.97,13.98,1,241
145,145_5,426,539,14.21,17.98,0,114
145,145_6,540,668,18.02,22.29,1,129
145,145_7,669,1256,22.32,41.91,0,588
145,145_8,1257,1349,41.94,45.01,1,93
145,145_9,1350,1697,45.05,56.62,0,348
145,145_10,1698,1771,56.66,59.09,1,74
145,145_11,1772,1902,59.13,63.46,0,131
145,145_12,1903,1995,63.5,66.57,1,93
145,145_13,1996,2140,66.6,71.4,0,145
145,145_14,2141,2287,71.44,76.31,1,147
145,145_15,2288,2540,76.34,84.75,0,253
145,145_16,2541,2621,84.78,87.45,1,81
145,145_17,2622,3592,87.49,119.85,0,971
145,145_18,3593,3718,119.89,124.06,1,126
145,145_19,3719,5039,124.09,168.13,0,1321
146,146_1,0,4314,0,143.94,0,4315
147,147_1,67,252,2.24,8.41,0,186
147,147_2,253,508,8.44,16.95,1,256
147,147_3,509,559,16.98,18.65,0,51
147,147_4,560,780,18.69,26.03,1,221
147,147_5,787,3596,26.26,119.99,0,2810
147,147_6,3597,3717,120.02,124.02,1,121
147,147_7,3722,4680,124.19,156.16,0,959
148,148_1,0,943,0,31.46,0,944
148,148_2,944,1457,31.5,48.62,1,514
148,148_3,1458,1611,48.65,53.75,0,154
148,148_4,1612,1782,53.79,59.46,1,171
148,148_5,1788,2160,59.66,72.07,0,373
148,148_6,2168,2599,82.34,86.72,1,432
148,148_7,2600,2786,86.75,92.96,0,187
148,148_8,2794,3115,93.23,103.94,1,322
148,148_9,3123,3461,104.2,115.48,0,339
149,149_1,0,242,0,8.07,1,243
149,149_2,261,474,8.71,15.82,0,214
149,149_3,485,727,16.18,24.26,1,243
149,149_4,741,1771,24.72,59.09,0,1031
149,149_5,1772,2138,59.13,71.34,1,367
149,149_6,2139,3083,71.37,102.87,0,945
149,149_7,3084,3232,102.9,107.84,1,149
149,149_8,3236,4093,107.97,136.57,0,858
150,150_1,0,347,0,13.88,1,348
150,150_2,348,1500,13.92,60,0,1153
151,151_1,0,2854,0,119.03,0,2855
152,152_1,0,1495,0,49.93,0,1496
152,152_2,1496,1606,49.97,53.64,1,111
152,152_3,1607,4970,53.67,166,0,3364
153,153_1,18,90,0.6,3,0,73
153,153_2,91,191,3.04,6.37,1,101
153,153_3,192,4479,6.41,149.45,0,4288
154,154_1,0,1797,0,59.96,0,1798
155,155_1,253,3253,8.43,108.43,0,3001
156,156_1,63,2562,2.1,85.49,0,2500
157,157_1,0,331,0,11.04,0,332
157,157_2,332,346,11.08,11.54,1,15
157,157_3,347,1850,11.58,61.73,0,1504
157,157_4,1851,1864,61.76,62.2,1,14
157,157_5,1865,1938,62.23,64.66,0,74
157,157_6,1967,3116,65.63,103.97,1,1150
158,158_1,0,6615,0,132.3,0,6616
160,160_1,0,449,0,14.97,0,450
160,160_2,450,465,15,15.5,1,16
160,160_3,466,552,15.53,18.4,0,87
160,160_4,553,570,18.43,19,1,18
160,160_5,571,593,19.03,19.77,0,23
160,160_6,594,616,19.8,20.53,1,23
160,160_7,617,817,20.57,27.23,0,201
160,160_8,818,828,27.27,27.6,1,11
160,160_9,829,927,27.63,30.9,0,99
160,160_10,928,1035,30.93,34.5,1,108
160,160_11,1036,1271,34.53,42.37,0,236
160,160_12,1272,1293,42.4,43.1,1,22
160,160_13,1294,1334,43.13,44.47,0,41
160,160_14,1335,1397,44.5,46.57,1,63
160,160_15,1398,1716,46.6,57.2,0,319
160,160_16,1717,1807,57.23,60.23,1,91
160,160_17,1808,2419,60.27,80.63,0,612
160,160_18,2420,2433,80.67,81.1,1,14
160,160_19,2434,2450,81.13,81.67,0,17
160,160_20,2451,2506,81.7,83.53,1,56
160,160_21,2507,3298,83.57,109.93,0,792
161,161_1,0,191,0,7.64,0,192
161,161_2,192,223,7.68,8.92,1,32
161,161_3,224,277,8.96,11.08,0,54
161,161_4,278,553,11.12,22.12,1,276
161,161_5,554,2212,22.16,88.48,0,1659
163,163_1,0,13,0,0.43,0,14
163,163_2,14,546,0.47,18.22,1,533
163,163_3,547,1151,18.25,38.41,0,605
163,163_4,1152,1389,38.44,46.35,1,238
163,163_5,1390,1449,46.38,48.35,0,60
163,163_6,1450,1575,48.38,52.55,1,126
163,163_7,1576,2081,52.59,69.44,0,506
163,163_8,2082,2339,69.47,78.04,1,258
163,163_9,2342,3174,78.14,105.91,0,833
163,163_10,3175,3349,105.94,111.74,1,175
164,164_1,0,3097,0,103.34,0,3098
165,165_1,90,191,3,6.37,0,102
165,165_2,196,349,6.54,11.64,1,154
165,165_3,353,2424,11.78,80.88,0,2072
167,167_1,0,600,0,20,1,601
167,167_2,601,2150,20.03,71.67,0,1550
167,167_3,2151,2270,71.7,75.67,1,120
168,168_1,0,3094,0,103.13,0,3095
169,169_1,0,402,0,13.41,0,403
169,169_2,403,508,13.45,16.95,1,106
169,169_3,514,566,17.15,18.89,0,53
169,169_4,567,718,18.92,23.96,1,152
169,169_5,719,772,23.99,25.76,0,54
169,169_6,773,1114,25.79,37.17,1,342
169,169_7,1115,1629,37.2,54.35,0,515
169,169_8,1630,1842,54.39,61.46,1,213
169,169_9,1847,2262,61.63,75.48,0,416
169,169_10,2263,2321,75.51,77.44,1,59
169,169_11,2322,2361,77.48,78.78,0,40
169,169_12,2362,2396,78.81,79.95,1,35
169,169_13,2397,2565,79.98,85.59,0,169
169,169_14,2566,2577,85.62,85.99,1,12
169,169_15,2578,2622,86.02,87.49,0,45
169,169_16,2623,2669,87.52,89.06,1,47
169,169_17,2670,2743,89.09,91.52,0,74
169,169_18,2744,2826,91.56,94.29,1,83
169,169_19,2827,3588,94.33,119.72,0,762
169,169_20,3589,3642,119.75,121.52,1,54
169,169_21,3643,3757,121.55,125.36,0,115
169,169_22,3758,3991,125.39,133.17,1,234
169,169_23,3992,4063,133.2,135.57,0,72
169,169_24,4064,4130,135.6,137.8,1,67
169,169_25,4131,4185,137.84,139.64,0,55
169,169_26,4186,4224,139.67,140.94,1,39
169,169_27,4225,4227,140.97,141.04,0,3
169,169_28,4228,4283,141.07,142.91,1,56
169,169_29,4284,4287,142.94,143.04,0,4
169,169_30,4288,4380,143.08,146.15,1,93
169,169_31,4381,4497,146.18,150.05,0,117
169,169_32,4498,5194,150.08,173.31,1,697
170,170_1,0,1795,0,59.83,0,1796
171,171_1,0,650,0,21.69,1,651
171,171_2,651,751,21.72,25.06,0,101
171,171_3,752,1242,25.09,41.44,1,491
171,171_4,1300,1400,43.38,46.71,0,101
171,171_5,1401,1901,46.75,63.43,1,501
171,171_6,1902,3529,63.46,117.75,0,1628
172,172_1,10,1045,0.33,34.87,0,1036
172,172_2,1046,1104,34.9,36.84,1,59
172,172_3,1105,1117,36.87,37.27,0,13
172,172_4,1118,1578,37.3,52.65,1,461
172,172_5,1594,1843,53.19,61.49,0,250
172,172_6,1849,1879,61.69,62.7,1,31
172,172_7,1887,3320,62.96,110.78,0,1434
173,173_1,6,2189,0.2,72.97,0,2184
173,173_2,2190,2651,73,88.37,1,462
173,173_3,4573,5034,152.43,167.8,0,462
174,174_1,0,7,0,0.23,0,8
174,174_2,8,35,0.27,1.17,1,28
174,174_3,36,123,1.2,4.1,0,88
174,174_4,124,165,4.14,5.51,1,42
174,174_5,222,2216,7.41,73.94,0,1995
174,174_6,2217,2260,73.97,75.41,1,44
174,174_7,2447,2513,81.65,83.85,0,67
174,174_8,2514,2837,83.88,94.66,1,324
174,174_9,2838,5156,94.69,172.04,0,2319
175,175_1,0,3191,0,127.64,0,3192
175,175_2,3192,3224,127.68,128.96,1,33
175,175_3,3225,3526,129,141.04,0,302
175,175_4,3527,3544,141.08,141.76,1,18
175,175_5,3545,4361,141.8,174.44,0,817
176,176_1,0,986,0,32.87,0,987
176,176_2,987,1079,32.9,35.97,1,93
176,176_3,1080,2015,36,67.17,0,936
177,177_1,0,557,0,9.29,0,558
177,177_2,558,761,9.31,12.7,1,204
177,177_3,762,922,12.71,15.38,0,161
177,177_4,923,1213,15.4,20.24,1,291
177,177_5,1228,1399,20.49,23.34,0,172
177,177_6,1400,1521,23.36,25.38,1,122
177,177_7,1522,3173,25.39,52.94,0,1652
177,177_8,3188,3413,53.19,56.94,1,226
177,177_9,3414,3572,56.96,59.59,0,159
178,178_1,49,1582,1.63,52.73,0,1534
178,178_2,1583,1869,52.77,62.3,1,287
178,178_3,1879,2897,62.63,96.57,0,1019
178,178_4,2898,2939,96.6,97.97,1,42
178,178_5,2950,3624,98.33,120.8,0,675
179,179_1,0,1790,0,59.73,0,1791
180,180_1,0,7,0,0.23,0,8
180,180_2,8,412,0.27,13.75,1,405
180,180_3,413,1139,13.78,38,0,727
180,180_4,1140,1362,38.04,45.45,1,223
180,180_5,1363,1699,45.48,56.69,0,337
180,180_6,1700,1975,56.72,65.9,1,276
180,180_7,1976,2192,65.93,73.14,0,217
180,180_8,2193,2434,73.17,81.21,1,242
180,180_9,2435,3055,81.25,101.94,0,621
180,180_10,3056,3226,101.97,107.64,1,171
180,180_11,3227,4151,107.67,138.51,0,925
181,181_1,0,592,0,19.75,0,593
181,181_2,593,866,19.79,28.9,1,274
181,181_3,867,1683,28.93,56.16,0,817
181,181_4,1684,1723,56.19,57.49,1,40
181,181_5,1724,3777,57.52,126.03,0,2054
182,182_1,0,474,0,15.82,0,475
182,182_2,475,1804,15.85,60.19,1,1330
183,183_1,0,3029,0,101.07,0,3030
184,184_1,0,59,0,1.97,0,60
184,184_2,60,84,2,2.8,1,25
184,184_3,85,1350,2.84,45.05,0,1266
184,184_4,1351,1427,45.08,47.61,1,77
184,184_5,1440,2567,48.05,85.65,0,1128
184,184_6,2568,2676,85.69,89.29,1,109
184,184_7,2677,3173,89.32,105.87,0,497
184,184_8,3174,3225,105.91,107.61,1,52
184,184_9,3226,3554,107.64,118.59,0,329
185,185_1,0,2247,0,74.9,0,2248
186,186_1,0,32,0,1.07,0,33
186,186_2,33,78,1.1,2.6,1,46
186,186_3,79,1673,2.64,55.82,0,1595
186,186_4,1674,1762,55.86,58.79,1,89
186,186_5,1763,2615,58.83,87.25,0,853
186,186_6,2616,2688,87.29,89.69,1,73
186,186_7,2689,3681,89.72,122.82,0,993
187,187_1,0,1025,0,34.2,0,1026
187,187_2,1026,1164,34.23,38.84,1,139
187,187_3,1165,1220,38.87,40.71,0,56
187,187_4,1234,1347,41.17,44.94,1,114
187,187_5,1348,1358,44.98,45.31,0,11
187,187_6,1749,1851,58.36,61.76,1,103
187,187_7,1925,2642,64.23,88.15,0,718
188,188_1,0,2498,0,83.35,0,2499
189,189_1,0,2052,0,82.08,0,2053
190,190_1,0,250,0,8.34,0,251
190,190_2,260,639,8.68,21.32,1,380
190,190_3,649,1387,21.65,46.28,0,739
190,190_4,1388,1687,46.31,56.29,1,300
190,190_5,1688,2474,56.32,82.55,0,787
190,190_6,2475,2608,82.58,87.02,1,134
190,190_7,2609,2732,87.05,91.16,0,124
190,190_8,2733,2868,91.19,95.7,1,136
190,190_9,2869,3604,95.73,120.25,0,736
191,191_1,0,78,0,3.12,0,79
191,191_2,79,520,3.16,20.8,1,442
191,191_3,521,521,20.84,20.84,0,1
191,191_4,522,880,20.88,35.2,1,359
191,191_5,881,992,35.24,39.68,0,112
191,191_6,993,1066,39.72,42.64,1,74
191,191_7,1067,1302,42.68,52.08,0,236
191,191_8,1303,2229,52.12,89.16,1,927
191,191_9,2230,2358,89.2,94.32,0,129
192,192_1,0,2104,0,84.16,0,2105
193,193_1,54,216,1.8,7.21,1,163
193,193_2,217,2175,7.24,72.57,0,1959
193,193_3,2176,2472,72.61,82.48,1,297
193,193_4,2473,2517,82.52,83.98,0,45
193,193_5,2518,2813,84.02,93.86,1,296
193,193_6,3354,4408,111.91,147.08,0,1055
193,193_7,4409,4442,147.11,148.21,1,34
193,193_8,4443,5325,148.25,177.68,0,883
194,194_1,0,286,0,9.54,1,287
194,194_2,287,451,9.58,15.05,0,165
194,194_3,452,1439,15.08,48.01,1,988
194,194_4,1440,1478,48.05,49.32,0,39
194,194_5,1479,1546,49.35,51.58,1,68
194,194_6,1547,1985,51.62,66.23,0,439
194,194_7,1986,2100,66.27,70.07,1,115
194,194_8,2101,2322,70.1,77.48,0,222
194,194_9,2323,2473,77.51,82.52,1,151
194,194_10,2474,2830,82.55,94.43,0,357
194,194_11,2831,2946,94.46,98.3,1,116
194,194_12,2947,2994,98.33,99.9,0,48
194,194_13,2995,3111,99.93,103.8,1,117
194,194_14,3112,3389,103.84,113.08,0,278
194,194_15,3390,3486,113.11,116.32,1,97
195,195_1,0,139,0,4.64,0,140
195,195_2,140,158,4.67,5.27,1,19
195,195_3,159,418,5.31,13.95,0,260
195,195_4,419,481,13.98,16.05,1,63
195,195_5,482,1824,16.08,60.86,0,1343
