Video ID,Segment ID,Start frame,End frame,Start time(s),End time(s),Violence label,Video Source Label,No. Frames
117,117_3,698,805,23.29,26.86,0,0,108
117,117_4,806,825,26.89,27.53,1,0,20
117,117_5,826,1767,27.56,58.96,0,0,942
117,117_6,1768,1852,58.99,61.8,1,0,85
117,117_7,1853,2320,61.83,77.41,0,0,468
118,118_1,62,136,2.07,4.54,0,1,75
118,118_2,137,228,4.57,7.61,0,0,92
118,118_3,229,268,7.64,8.94,1,0,40
118,118_4,270,1047,9.01,34.93,0,1,778
118,118_5,1048,1286,34.97,42.91,1,0,239
118,118_6,1287,1501,42.94,50.08,0,0,215
118,118_7,1502,1912,50.12,63.8,0,1,411
118,118_8,1913,2033,63.83,67.83,0,0,121
118,118_9,2034,2079,67.87,69.37,1,0,46
118,118_10,2080,2372,69.4,79.15,0,0,293
118,118_11,2373,2865,79.18,95.6,0,1,493
118,118_12,2866,3246,95.63,108.31,0,0,381
118,118_13,3247,3527,108.34,117.68,0,1,281
119,119_1,111,224,3.7,7.47,0,1,114
119,119_2,312,798,10.41,26.63,0,1,487
119,119_3,799,896,26.66,29.9,1,0,98
119,119_4,903,957,30.13,31.93,0,1,55
119,119_5,960,990,32.03,33.03,0,0,31
119,119_6,1016,1135,33.9,37.87,0,1,120
119,119_7,1138,1305,37.97,43.54,0,0,168
119,119_8,1306,1453,43.58,48.48,0,1,148
119,119_9,1454,1605,48.52,53.55,0,0,152
119,119_10,1608,1752,53.65,58.46,0,1,145
119,119_11,1755,1907,58.56,63.63,0,0,153
119,119_12,1920,1983,64.06,66.17,1,0,64
119,119_13,1984,2061,66.2,68.77,0,1,78
119,119_14,2076,2170,69.27,72.41,1,0,95
119,119_15,2180,2323,72.74,77.51,0,1,144
119,119_16,2324,2498,77.54,83.35,0,0,175
119,119_17,2499,2532,83.38,84.48,1,0,34
119,119_18,2533,2580,84.52,86.09,0,0,48
119,119_19,2581,2646,86.12,88.29,0,1,66
119,119_20,2647,2693,88.32,89.86,0,0,47
119,119_21,2694,2852,89.89,95.16,1,0,159
119,119_22,2856,2987,95.3,99.67,0,0,132
119,119_23,2988,3436,99.7,114.65,0,1,449
120,120_1,40,181,1.33,6.04,0,1,142
120,120_2,545,3761,18.18,125.49,0,1,3217
121,121_1,0,417,0.0,13.91,0,1,418
121,121_2,418,742,13.95,24.76,0,0,325
121,121_3,743,773,24.79,25.79,1,0,31
121,121_4,774,929,25.83,31.0,0,0,156
121,121_5,930,1094,31.03,36.5,1,0,165
121,121_6,1095,1097,36.54,36.6,0,0,3
121,121_7,1098,1223,36.64,40.81,0,1,126
121,121_8,1224,1276,40.84,42.58,1,0,53
121,121_9,1277,1304,42.61,43.51,0,0,28
121,121_10,1305,1653,43.54,55.15,0,1,349
121,121_11,1654,1674,55.19,55.86,0,0,21
121,121_12,1675,1714,55.89,57.19,1,0,40
121,121_13,1715,1771,57.22,59.09,0,0,57
121,121_14,1772,1908,59.13,63.66,0,1,137
121,121_15,1909,1951,63.7,65.1,0,0,43
121,121_16,1952,2077,65.13,69.3,1,0,126
121,121_17,2078,2093,69.34,69.84,0,0,16
121,121_18,2094,2265,69.87,75.57,0,1,172
121,121_19,2282,2637,76.14,87.99,0,4,356
121,121_20,2638,2941,88.02,98.13,1,4,304
122,122_1,0,373,0.0,12.45,0,1,374
122,122_2,374,427,12.48,14.25,0,2,54
122,122_3,428,787,14.28,26.26,1,2,360
122,122_4,788,1287,26.29,42.94,0,1,500
122,122_5,1288,1458,42.98,48.65,1,2,171
122,122_6,1459,2383,48.68,79.51,0,1,925
122,122_7,2384,2673,79.55,89.19,1,2,290
122,122_8,2674,3087,89.22,103.0,0,1,414
122,122_9,3088,3221,103.04,107.47,1,2,134
122,122_10,3222,3818,107.51,127.39,0,1,597
123,123_1,0,3234,0.0,129.36,0,1,3235
124,124_1,0,1396,0.0,55.84,0,1,1397
125,125_1,0,489,0.0,16.32,0,1,490
125,125_2,506,767,16.88,25.59,1,2,262
125,125_3,768,1053,25.63,35.13,0,1,286
125,125_4,1054,1167,35.17,38.94,1,4,114
125,125_5,1168,2678,38.97,89.36,0,1,1511
126,126_1,0,107,0.0,4.28,1,0,108
126,126_2,108,659,4.32,26.36,0,2,552
126,126_3,660,1577,26.4,63.08,0,1,918
127,127_1,36,219,1.2,7.3,1,2,184
127,127_2,220,2678,7.33,89.27,0,2,2459
127,127_3,2679,3764,89.3,125.47,1,2,1086
127,127_4,3797,3830,126.57,127.67,1,2,34
128,128_1,0,432,0.0,14.41,0,4,433
128,128_2,446,899,14.88,30.0,0,1,454
128,128_3,900,1068,30.03,35.64,1,2,169
128,128_4,1091,1216,36.4,40.57,0,2,126
128,128_5,1217,1337,40.61,44.61,0,1,121
128,128_6,1338,1733,44.64,57.82,0,0,396
128,128_7,1734,1814,57.86,60.53,0,1,81
128,128_8,1815,1877,60.56,62.63,0,0,63
128,128_9,1878,2201,62.66,73.44,1,0,324
128,128_10,2202,2380,73.47,79.41,0,1,179
128,128_11,2381,2519,79.45,84.05,0,0,139
128,128_12,2520,3376,84.08,112.65,0,1,857
129,129_1,20,1326,0.8,53.04,0,2,1307
129,129_2,1327,1577,53.08,63.08,1,2,251
129,129_3,1784,1906,71.36,76.24,1,2,123
129,129_4,1972,2053,78.88,82.12,1,2,82
129,129_5,2117,2156,84.68,86.24,1,2,40
129,129_6,2172,2358,86.88,94.32,1,2,187
129,129_7,2368,2463,94.72,98.52,1,2,96
129,129_8,2474,2624,98.96,104.96,1,2,151
129,129_9,2637,2809,105.48,112.36,1,2,173
129,129_10,2815,2861,112.6,114.44,0,2,47
129,129_11,2891,2961,115.64,118.44,1,2,71
131,131_1,22,192,0.73,6.41,0,1,171
131,131_2,199,238,6.64,7.94,0,2,40
131,131_3,239,589,7.97,19.65,1,2,351
131,131_4,590,995,19.69,33.2,0,1,406
131,131_5,1002,1244,33.43,41.51,0,1,243
131,131_6,1245,1265,41.54,42.21,0,2,21
131,131_7,1266,1637,42.24,54.62,1,2,372
131,131_8,1638,1779,54.65,59.36,0,1,142
132,132_1,104,202,3.47,6.74,0,1,99
132,132_2,203,207,6.77,6.91,0,3,5
132,132_3,208,441,6.94,14.71,1,3,234
132,132_4,447,864,14.91,28.83,1,4,418
132,132_5,865,1386,28.86,46.25,1,3,522
132,132_6,1387,2031,46.28,67.77,0,1,645
132,132_7,2032,2443,67.8,81.51,1,3,412
132,132_8,2444,3293,81.55,109.88,0,1,850
133,133_1,0,1172,0.0,39.11,1,3,1173
133,133_2,1173,1424,39.14,47.51,1,2,252
133,133_3,1433,1540,47.81,51.38,0,3,108
133,133_4,1546,1663,51.58,55.49,1,3,118
133,133_5,1664,1788,55.52,59.66,0,1,125
133,133_6,1789,2238,59.69,74.67,1,3,450
133,133_7,2240,3027,74.74,101.0,0,1,788
133,133_8,3028,3240,101.03,108.11,0,3,213
133,133_9,3241,3662,108.14,122.19,1,3,422
134,134_1,12,367,0.4,12.25,1,4,356
134,134_2,373,1300,12.45,43.38,0,1,928
134,134_3,1301,1692,43.41,56.46,1,2,392
134,134_4,1693,2199,56.49,73.37,0,1,507
134,134_5,2200,2324,73.41,77.54,1,2,125
134,134_6,2325,2408,77.58,80.35,0,1,84
134,134_7,2409,2490,80.38,83.08,1,2,82
134,134_8,2491,3502,83.12,116.85,0,1,1012
134,134_9,3503,3579,116.88,119.42,1,2,77
134,134_10,4700,4773,156.82,159.26,0,1,74
135,135_1,150,452,6.0,18.08,0,3,303
135,135_2,453,842,18.12,33.68,1,3,390
135,135_3,843,978,33.72,39.12,0,3,136
135,135_4,979,1007,39.16,40.28,1,3,29
135,135_5,1008,1220,40.32,48.8,0,3,213
135,135_6,1221,1252,48.84,50.08,1,3,32
135,135_7,1253,1350,50.12,54.0,0,3,98
135,135_8,1351,1416,54.04,56.64,1,3,66
135,135_9,1417,1525,56.68,61.0,0,3,109
136,136_1,0,473,0.0,15.78,0,1,474
136,136_2,479,759,15.98,25.33,0,2,281
136,136_3,760,2591,25.36,86.45,0,1,1832
137,137_1,37,382,1.24,12.81,0,1,346
137,137_2,427,1242,14.32,41.66,0,1,816
137,137_3,1243,1298,41.69,43.54,0,2,56
137,137_4,1299,1376,43.57,46.15,1,2,78
137,137_5,1377,1521,46.19,51.02,0,2,145
137,137_6,1529,1641,51.28,55.04,1,2,113
137,137_7,1644,2043,55.14,68.52,0,2,400
137,137_8,2044,2323,68.56,77.92,1,2,280
137,137_9,2333,2435,78.25,81.67,0,2,103
137,137_10,2436,2486,81.71,83.38,1,2,51
137,137_11,2487,2537,83.42,85.09,0,2,51
137,137_12,2538,2772,85.13,92.98,1,2,235
137,137_13,2776,2794,93.11,93.71,0,2,19
137,137_14,2825,3240,94.75,108.67,0,1,416
138,138_1,0,26,0.0,1.08,1,1,27
138,138_2,36,496,1.5,20.69,0,0,461
138,138_3,497,515,20.73,21.48,1,0,19
138,138_4,516,592,21.52,24.69,0,0,77
138,138_5,593,610,24.73,25.44,1,0,18
138,138_6,611,870,25.48,36.29,0,0,260
138,138_7,871,1022,36.33,42.63,1,0,152
138,138_8,1023,1214,42.67,50.63,0,0,192
138,138_9,1215,1266,50.68,52.8,0,1,52
138,138_10,1353,1427,56.43,59.52,1,0,75
139,139_1,0,621,0.0,20.72,0,1,622
139,139_2,622,683,20.75,22.79,0,0,62
139,139_3,684,697,22.82,23.26,1,0,14
139,139_4,698,848,23.29,28.29,0,0,151
139,139_5,849,904,28.33,30.16,1,0,56
139,139_6,905,926,30.2,30.9,0,0,22
139,139_7,927,1226,30.93,40.91,0,1,300
139,139_8,1227,1266,40.94,42.24,0,0,40
139,139_9,1267,1307,42.28,43.61,1,0,41
139,139_10,1308,2409,43.64,80.38,0,0,1102
139,139_11,2410,2805,80.41,93.59,0,1,396
140,140_1,0,7,0.0,0.28,0,1,8
140,140_2,8,84,0.32,3.36,1,4,77
140,140_3,85,122,3.4,4.88,0,4,38
140,140_4,123,199,4.92,7.96,1,4,77
140,140_5,200,256,8.0,10.24,0,4,57
140,140_6,257,329,10.28,13.16,1,4,73
140,140_7,330,383,13.2,15.32,0,4,54
140,140_8,384,392,15.36,15.68,1,4,9
140,140_9,393,454,15.72,18.16,0,0,62
140,140_10,455,649,18.2,25.96,1,0,195
140,140_11,650,893,26.0,35.72,0,1,244
140,140_12,894,941,35.76,37.64,0,0,48
140,140_13,942,1037,37.68,41.48,1,0,96
140,140_14,1038,1704,41.52,68.16,0,1,667
140,140_15,1705,1829,68.2,73.16,1,0,125
140,140_16,1830,2625,73.2,105.0,0,1,796
140,140_17,2626,2759,105.04,110.36,1,0,134
141,141_1,0,767,0.0,25.57,0,1,768
141,141_2,768,1002,25.6,33.4,0,2,235
141,141_3,1003,1398,33.43,46.6,0,1,396
141,141_4,1399,1576,46.63,52.53,0,2,178
141,141_5,1577,2420,52.57,80.67,0,1,844
142,142_1,143,1663,4.77,55.49,0,1,1521
142,142_2,1664,1861,55.52,62.1,0,0,198
142,142_3,1862,1959,62.13,65.36,0,1,98
142,142_4,1960,2332,65.4,77.81,0,0,373
142,142_5,2333,2475,77.84,82.58,1,2,143
142,142_6,2476,2589,82.62,86.39,0,2,114
142,142_7,2590,3390,86.42,113.11,0,1,801
143,143_1,0,474,0.0,18.96,0,1,475
143,143_2,475,591,19.0,23.64,1,1,117
143,143_3,592,1565,23.68,62.6,0,1,974
144,144_1,0,1792,0.0,59.73,0,3,1793
145,145_1,0,15,0.0,0.5,0,0,16
145,145_2,16,37,0.53,1.23,1,0,22
145,145_3,38,178,1.27,5.94,0,0,141
145,145_4,179,419,5.97,13.98,1,0,241
145,145_5,426,539,14.21,17.98,0,4,114
145,145_6,540,668,18.02,22.29,1,4,129
145,145_7,669,815,22.32,27.19,0,1,147
145,145_8,839,1184,27.99,39.51,0,1,346
145,145_9,1191,1256,39.74,41.91,0,0,66
145,145_10,1257,1349,41.94,45.01,1,0,93
145,145_11,1350,1697,45.05,56.62,0,0,348
145,145_12,1698,1771,56.66,59.09,1,0,74
145,145_13,1772,1823,59.13,60.83,0,0,52
145,145_14,1824,1902,60.86,63.46,0,1,79
145,145_15,1903,1995,63.5,66.57,1,0,93
145,145_16,1996,2140,66.6,71.4,0,0,145
145,145_17,2141,2287,71.44,76.31,1,0,147
145,145_18,2288,2353,76.34,78.51,0,0,66
145,145_19,2354,2493,78.55,83.18,0,1,140
145,145_20,2494,2540,83.22,84.75,0,0,47
145,145_21,2541,2621,84.78,87.45,1,0,81
145,145_22,2622,3592,87.49,119.85,0,1,971
145,145_23,3593,3718,119.89,124.06,1,0,126
145,145_24,3719,3781,124.09,126.16,0,0,63
145,145_25,3938,4343,131.4,144.91,0,0,406
145,145_26,4366,5039,145.68,168.13,0,1,674
146,146_1,0,4314,0.0,143.94,0,1,4315
147,147_1,67,252,2.24,8.41,0,2,186
147,147_2,253,508,8.44,16.95,1,2,256
147,147_3,509,559,16.98,18.65,0,2,51
147,147_4,560,780,18.69,26.03,1,2,221
147,147_5,787,3596,26.26,119.99,0,1,2810
147,147_6,3597,3717,120.02,124.02,1,1,121
147,147_7,3722,4680,124.19,156.16,0,1,959
148,148_1,0,943,0.0,31.46,0,1,944
148,148_2,944,1457,31.5,48.62,1,1,514
148,148_3,1458,1611,48.65,53.75,0,1,154
148,148_4,1612,1782,53.79,59.46,1,1,171
148,148_5,1788,2160,59.66,72.07,0,1,373
148,148_6,2168,2599,82.34,86.72,1,1,432
148,148_7,2600,2606,86.75,86.95,0,1,7
148,148_8,2607,2786,86.99,92.96,0,2,180
148,148_9,2794,3115,93.23,103.94,1,1,322
148,148_10,3123,3461,104.2,115.48,0,1,339
149,149_1,0,242,0.0,8.07,1,2,243
149,149_2,261,474,8.71,15.82,0,1,214
149,149_3,485,727,16.18,24.26,1,2,243
149,149_4,741,1335,24.72,44.54,0,1,595
149,149_5,1336,1531,44.58,51.08,0,2,196
149,149_6,1532,1771,51.12,59.09,0,1,240
149,149_7,1772,2138,59.13,71.34,1,2,367
149,149_8,2139,2352,71.37,78.48,0,2,214
149,149_9,2359,2706,78.71,90.29,0,1,348
149,149_10,2725,2881,90.92,96.13,0,2,157
149,149_11,2882,3083,96.16,102.87,0,1,202
149,149_12,3084,3232,102.9,107.84,1,1,149
149,149_13,3236,4093,107.97,136.57,0,1,858
150,150_1,0,347,0.0,13.88,1,2,348
150,150_2,348,1500,13.92,60.0,0,1,1153
151,151_1,0,2566,0.0,107.02,0,2,2567
151,151_2,2567,2854,107.06,119.03,0,1,288
152,152_1,0,307,0.0,10.25,0,2,308
152,152_2,308,882,10.29,29.46,0,1,575
152,152_3,883,990,29.49,33.07,0,2,108
152,152_4,991,1109,33.1,37.04,0,1,119
152,152_5,1110,1495,37.07,49.93,0,2,386
152,152_6,1496,1606,49.97,53.64,1,2,111
