Video ID,Filename,Start frame,End frame,Start time(s),End time(s),,Violence Type (Video),Video Type,Violence Type (Text),Manual Text,Memo,Violence(Sound) Type1,Sound type1,start frame1,end frame1,Violence(Sound) Type2,Sound type2,start frame2,end frame2,Violence(Sound) Type3,Sound type3,start frame3,end frame3,Violence(Sound) Type4,Sound type4,start frame4,end frame4,Violence(Sound) Type5,Sound type5,start frame5,end frame5,Violence(Sound) Type6,Sound type6,start frame6,end frame6,Violence(Sound) Type7,Sound type7,start frame7,end frame7,Violence(Sound) Type8,Sound type8,start frame8,end frame8,Violence(Sound) Type9,Sound type9,start frame9,end frame9,Violence(Sound) Type10,Sound type10,start frame10,end frame10,Violence(Sound) Type11,Sound type11,start frame11,end frame11
10,10_Violent street takeover caught on camera.mp4,716,737,23.89,24.59,0.7,Non-violent,News,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,738,877,24.62,29.26,4.64,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,878,907,29.3,30.26,0.96,Non-violent,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,908,1171,30.3,39.07,8.77,Non-violent,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,1172,1966,39.11,65.6,26.49,Non-violent,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,1967,2116,65.63,70.6,4.97,Non-violent,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,2117,2319,70.64,77.38,6.74,Non-violent,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,2320,2323,77.41,77.51,0.1,Non-violent,Transition,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,2324,2425,77.54,80.91,3.37,NONE,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,2426,2696,80.95,89.96,9.01,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,0,108,0,3.6,3.6,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,109,468,3.64,15.62,11.98,Non-violent,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,469,483,15.65,16.12,0.47,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,484,685,16.15,22.86,6.71,Non-violent,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,686,874,22.89,29.16,6.27,NONE,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,875,977,29.2,32.6,3.4,Violent,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,978,1265,32.63,42.21,9.58,Non-violent,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,1266,1333,42.24,44.48,2.24,Non-violent,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,1334,1681,44.51,56.09,11.58,Non-violent,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,1682,1750,56.12,58.39,2.27,Non-violent,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,1751,1845,58.43,61.56,3.13,Non-violent,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,1846,1930,61.59,64.4,2.81,Violent,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,1931,1949,64.43,65.03,0.6,Non-violent,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,1950,2073,65.06,69.17,4.11,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,2074,2098,69.2,70,0.8,Non-violent,News,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,2099,2357,70.04,78.65,8.61,Violent,CCTV,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,2358,2495,78.68,83.25,4.57,Violent,CCTV,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,2496,2764,83.28,92.23,8.95,Non-violent,News,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,2765,2901,92.26,96.8,4.54,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,2902,2912,96.83,97.16,0.33,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,2913,3035,97.2,101.27,4.07,Violent,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,3036,3721,101.3,124.16,22.86,Non-violent,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_Domestic assault caught on tape.mp4,3722,3736,124.19,124.66,0.47,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,0,4,0,0.13,0.13,NONE,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,5,59,0.17,1.97,1.8,NONE,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,60,209,2,6.97,4.97,Non-violent,Dashcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,210,474,7.01,15.82,8.81,Violent,Dashcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,475,909,15.85,30.33,14.48,Non-violent,Dashcam,,,,,Shouting,629,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,910,1297,30.36,43.28,12.92,Violent,Dashcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,1298,2567,43.31,85.65,42.34,Non-violent,Dashcam,,,,,Shouting,1946,1976,,Shouting,2220,2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,2568,2572,85.69,85.82,0.13,NONE,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12_Watch as cab robbery gets interrupted by police.mp4,2573,2611,85.85,87.12,1.27,NONE,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,0,450,0,18,18,Non-violent,Self-filmed,,,,,Others,125,150,,Shouting,200,250,,Others,400,425,,Shouting,1500,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,451,1629,18.04,65.16,47.12,Violent,Self-filmed,,,,,Shouting,525,1125,,Shouting,1175,1325,,Shouting,1375,1450,,Shouting,1500,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,1630,1915,65.2,76.6,11.4,Violent,Self-filmed,,,,,Shouting,1750,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,1916,1920,76.64,76.8,0.16,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,1921,2161,76.84,86.44,9.6,NONE,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,0,102,0,3.4,3.4,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,103,637,3.44,21.25,17.81,Non-violent,Combination,,,News+CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,638,777,21.29,25.93,4.64,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,778,850,25.96,28.36,2.4,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,851,953,28.4,31.8,3.4,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,954,1050,31.83,35.04,3.21,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,1051,1221,35.07,40.74,5.67,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,1222,1226,40.77,40.91,0.14,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,1227,1432,40.94,47.78,6.84,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,1433,1502,47.81,50.12,2.31,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,1503,1563,50.15,52.15,2,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,1564,2379,52.19,79.38,27.19,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,2380,2449,79.41,81.72,2.31,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,2450,3099,81.75,103.4,21.65,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,3100,3318,103.44,110.71,7.27,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,3319,3539,110.74,118.08,7.34,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,3540,3739,118.12,124.76,6.64,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,3740,3836,124.79,127.99,3.2,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,0,91,0,3.04,3.04,NONE,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,92,1180,3.07,39.37,36.3,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,1181,1370,39.41,45.71,6.3,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,1371,1426,45.75,47.58,1.83,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,1427,2000,47.61,66.73,19.12,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,0,7,0,0.28,0.28,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,8,200,0.32,8,7.68,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,201,693,8.04,27.72,19.68,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,694,696,27.76,27.84,0.08,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,697,697,27.88,27.88,0,NONE,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,698,702,27.92,28.08,0.16,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,703,732,28.12,29.28,1.16,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,733,764,29.32,30.56,1.24,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,765,980,30.6,39.2,8.6,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,981,1347,39.24,53.88,14.64,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,1348,1405,53.92,56.2,2.28,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,1406,1487,56.24,59.48,3.24,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16_CCTV shows shocking street brawl involving knives and machetes.mp4,1488,1798,59.52,71.92,12.4,NONE,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,0,191,0,6.37,6.37,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,192,418,6.41,13.95,7.54,NONE,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,419,952,13.98,31.77,17.79,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,953,967,31.8,32.27,0.47,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,968,1179,32.3,39.34,7.04,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,1180,1264,39.37,42.18,2.81,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,1265,1345,42.21,44.88,2.67,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,1346,1691,44.91,56.42,11.51,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,1692,1784,56.46,59.53,3.07,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,1785,2112,59.56,70.47,10.91,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17_Convenience Store Crooks Caught On Camera.mp4,2113,2760,70.5,92.09,21.59,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,0,570,0,19.02,19.02,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,571,577,19.05,19.25,0.2,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,578,1638,19.29,54.65,35.36,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,1639,1642,54.69,54.79,0.1,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,1643,2035,54.82,67.9,13.08,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,2036,2045,67.93,68.23,0.3,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,2046,2184,68.27,72.87,4.6,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,2185,2194,72.91,73.21,0.3,NONE,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18_Attack on store clerk caught on camera.mp4,2195,2315,73.24,77.24,4,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
